Timestamp,MQ5A0,MQ5D0,MQ135A0,MQ135D0,DHT11_T,DHT11_H,Outcome
12/30/1899 11:30:02,523,1,46,1,31,57,0
12/30/1899 11:30:07,523,1,46,1,31,57,0
12/30/1899 11:30:12,522,1,46,1,31,57,0
12/30/1899 11:35:33,445,1,52,1,31,57,0
12/30/1899 11:35:38,441,1,51,1,31,57,0
12/30/1899 11:35:43,445,1,51,1,31,57,0
12/30/1899 11:35:48,446,1,51,1,31,57,0
12/30/1899 11:35:53,447,1,51,1,31,57,0
12/30/1899 11:35:58,446,1,51,1,31,57,0
12/30/1899 11:38:54,447,1,52,1,31,57,0
12/30/1899 11:38:59,444,1,52,1,31,57,0
12/30/1899 11:39:04,438,1,51,1,31,57,0
12/30/1899 11:39:09,425,1,54,1,31,57,0
12/30/1899 11:39:14,425,1,51,1,31,57,0
12/30/1899 11:39:19,431,1,52,1,31,57,0
12/30/1899 11:39:24,422,1,57,1,31,57,0
12/30/1899 11:39:29,446,1,55,1,31,57,0
12/30/1899 11:39:34,432,1,51,1,31,57,0
12/30/1899 11:39:39,448,1,50,1,31,57,0
12/30/1899 11:39:44,464,1,51,1,31,57,0
12/30/1899 11:39:49,475,1,50,1,31,57,0
12/30/1899 11:39:54,481,1,50,1,31,57,0
12/30/1899 11:39:59,485,1,50,1,31,57,0
12/30/1899 11:40:04,488,1,50,1,31,57,0
12/30/1899 11:40:09,487,1,50,1,31,57,0
12/30/1899 11:40:14,485,1,50,1,31,57,0
12/30/1899 11:40:19,485,1,49,1,31,57,0
12/30/1899 11:40:24,485,1,49,1,31,57,0
12/30/1899 11:40:29,485,1,49,1,31,57,0
12/30/1899 11:40:34,483,1,49,1,31,57,0
12/30/1899 11:40:39,485,1,50,1,31,57,0
12/30/1899 11:40:44,475,1,50,1,31,57,0
12/30/1899 11:40:49,458,1,49,1,31,57,0
12/30/1899 11:40:54,433,1,49,1,31,57,0
12/30/1899 11:40:59,436,1,50,1,31,57,0
12/30/1899 11:41:04,429,1,50,1,31,57,0
12/30/1899 11:41:09,447,1,50,1,31,57,0
12/30/1899 11:41:14,457,1,51,1,31,57,0
12/30/1899 11:41:19,459,1,50,1,31,57,0
12/30/1899 11:41:24,456,1,50,1,31,57,0
12/30/1899 11:41:29,459,1,50,1,31,57,0
12/30/1899 11:41:34,462,1,50,1,31,57,0
12/30/1899 11:41:39,463,1,50,1,31,57,0
12/30/1899 11:41:44,463,1,50,1,31,57,0
12/30/1899 11:41:49,465,1,50,1,31,57,0
12/30/1899 11:41:54,466,1,49,1,31,57,0
12/30/1899 11:41:59,465,1,49,1,31,57,0
12/30/1899 11:42:04,466,1,49,1,31,57,0
12/30/1899 11:42:09,467,1,49,1,31,57,0
12/30/1899 11:42:14,467,1,49,1,31,57,0
12/30/1899 11:42:19,468,1,49,1,31,57,0
12/30/1899 11:42:24,469,1,49,1,31,57,0
12/30/1899 11:42:29,470,1,49,1,31,57,0
12/30/1899 11:42:34,467,1,49,1,31,57,0
12/30/1899 11:42:39,467,1,49,1,31,57,0
12/30/1899 11:42:44,466,1,49,1,31,57,0
12/30/1899 11:42:49,465,1,49,1,31,57,0
12/30/1899 11:42:54,464,1,49,1,32,57,0
12/30/1899 11:42:59,465,1,49,1,32,57,0
12/30/1899 11:43:04,466,1,49,1,32,57,0
12/30/1899 11:43:09,467,1,49,1,32,57,0
12/30/1899 11:43:14,467,1,49,1,32,57,0
12/30/1899 11:43:19,466,1,49,1,32,57,0
12/30/1899 11:43:24,465,1,49,1,32,57,0
12/30/1899 11:43:29,466,1,49,1,32,57,0
12/30/1899 11:43:34,466,1,49,1,32,57,0
12/30/1899 11:43:39,466,1,49,1,32,57,0
12/30/1899 11:43:44,467,1,49,1,32,57,0
12/30/1899 11:43:49,466,1,49,1,32,57,0
12/30/1899 11:43:54,467,1,49,1,32,57,0
12/30/1899 11:43:59,467,1,49,1,32,57,0
12/30/1899 11:44:04,468,1,49,1,32,57,0
12/30/1899 11:44:09,468,1,49,1,32,57,0
